"table","source_migration","canonical_status","tenant_key","rls_enabled","policy_summary","notes"
"agent_bus_messages","043_operational_cloud_mesh.sql","canonical","organization_id","True","service_role_all_agent_bus_messages","Direct organization scope."
"agent_logs","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id|lead_id","True","service_role_all_agent_logs","Direct organization scope."
"ai_governance_records","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_ai_governance_records","Direct organization scope."
"alice_conversations","202605210004_phase7_8_autonomous_os.sql","canonical","organization_id","True","service_role_all_alice_conversations","Direct organization scope."
"alice_enterprise_memory","202605210005_phase10_11_healthcare_cloud.sql","canonical","organization_id","True","service_role_all_alice_enterprise_memory","Direct organization scope."
"alice_memory","202605210004_phase7_8_autonomous_os.sql","canonical","organization_id","True","service_role_all_alice_memory","Direct organization scope."
"alice_messages","202605210004_phase7_8_autonomous_os.sql","canonical","organization_id","True","service_role_all_alice_messages","Direct organization scope."
"analytics_events","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id|lead_id","True","service_role_all_analytics_events","Direct organization scope."
"anomaly_events","202605210004_phase7_8_autonomous_os.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_anomaly_events","Direct organization scope."
"anomaly_validations","202605210006_batch1_2_operational_stability.sql","canonical","organization_id","True","service_role_all_anomaly_validations","Direct organization scope."
"approval_events","202605210004_phase7_8_autonomous_os.sql","canonical","organization_id","True","service_role_all_approval_events","Direct organization scope."
"audits","202605210001_phase4_production_schema.sql","canonical","lead_id","True","service_role_all_audits","Scoped by approved alternate/parent key: lead_id"
"authority_content_assets","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_authority_content_assets","Direct organization scope."
"automation_audit_runs","202605210007_e2e_automation_audit.sql","canonical","organization_id","True","service_role_all_automation_audit_runs","Direct organization scope."
"automation_blueprints","202605210007_e2e_automation_audit.sql","canonical","organization_id","True","service_role_all_automation_blueprints","Direct organization scope."
"automation_coverage_results","202605210007_e2e_automation_audit.sql","canonical","organization_id","True","service_role_all_automation_coverage_results","Direct organization scope."
"automation_dead_letters","040_runtime_trace_system.sql","canonical","organization_id|trace_id","True","service_role_all_automation_dead_letters","Direct organization scope."
"automation_events","202605210002_phase5_ai_operations.sql","canonical","practice_id","True","service_role_all_automation_events","Scoped by approved alternate/parent key: practice_id"
"automation_failures","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_automation_failures","Direct organization scope."
"automation_queue","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id","True","service_role_all_automation_queue","Direct organization scope."
"automation_registry","202605310002_automation_os_registry.sql","canonical","organization_id","True","service_role_all_automation_registry","Direct organization scope."
"automation_trace_events","040_runtime_trace_system.sql","canonical","organization_id|trace_id","True","service_role_all_automation_trace_events","Direct organization scope."
"automation_traces","040_runtime_trace_system.sql","canonical","organization_id|trace_id","True","service_role_all_automation_traces","Direct organization scope."
"autonomous_recovery_actions","042_governance_self_healing.sql","canonical","organization_id|trace_id","True","service_role_all_autonomous_recovery_actions","Direct organization scope."
"benchmark_events","202605210005_phase10_11_healthcare_cloud.sql","test_demo_or_audit","organization_id","True","service_role_all_benchmark_events","Direct organization scope."
"benchmark_snapshots","202605210003_phase6_multitenant_saas.sql","canonical","organization_id","True","service_role_all_benchmark_snapshots","Direct organization scope."
"billing_events","046_production_hardening_operational_tables.sql","orphaned_not_in_database_types","organization_id|lead_id","True","service_role_all_billing_events","Direct organization scope."
"bookings","202605210001_phase4_production_schema.sql","canonical","lead_id","True","service_role_all_bookings","Scoped by approved alternate/parent key: lead_id"
"case_study_results","045_gtm_delivery_growth.sql","canonical","organization_id","True","service_role_all_case_study_results","Direct organization scope."
"client_onboarding_playbooks","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_client_onboarding_playbooks","Direct organization scope."
"client_success_accounts","045_gtm_delivery_growth.sql","canonical","organization_id|prospect_id","True","service_role_all_client_success_accounts","Direct organization scope."
